id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,Snapshot_Date,Snapshot_Year,Snapshot_Month,Snapshot_Quarter,Customer_State,Customer_Region
133244,Male,41,1,39.0,1,1-2 Year,No,33344.0,14.0,145,0,2024-07-02,2024,7,Q3,Arizona,West
1944,Male,49,1,28.0,0,1-2 Year,Yes,39572.0,45.0,132,0,2024-09-23,2024,9,Q3,Arizona,West
21705,Male,22,1,30.0,1,< 1 Year,No,23899.0,152.0,288,0,2024-07-30,2024,7,Q3,Arizona,West
227534,Female,33,1,37.0,1,< 1 Year,No,2630.0,160.0,99,0,2024-05-09,2024,5,Q2,Arizona,West
333778,Male,26,1,42.0,0,< 1 Year,Yes,26787.0,152.0,234,0,2024-07-25,2024,7,Q3,Arizona,West
298003,Female,39,1,42.0,1,1-2 Year,No,26987.0,154.0,68,0,2024-07-18,2024,7,Q3,Arizona,West
93007,Male,27,1,28.0,1,< 1 Year,No,62681.0,152.0,290,0,2024-06-20,2024,6,Q2,Arizona,West
115683,Female,24,1,8.0,1,< 1 Year,No,28524.0,152.0,263,0,2024-02-27,2024,2,Q1,Arizona,West
227601,Female,22,1,18.0,1,< 1 Year,No,28764.0,152.0,163,0,2024-03-03,2024,3,Q1,Arizona,West
156371,Male,20,1,3.0,0,< 1 Year,Yes,26169.0,160.0,16,0,2024-03-30,2024,3,Q1,Arizona,West
359939,Male,65,1,28.0,0,1-2 Year,No,62254.0,26.0,186,0,2024-04-15,2024,4,Q2,Arizona,West
291117,Male,79,1,33.0,1,1-2 Year,No,51175.0,26.0,211,0,2024-10-28,2024,10,Q4,Arizona,West
305402,Female,49,1,11.0,0,1-2 Year,Yes,34959.0,26.0,83,0,2024-07-20,2024,7,Q3,Arizona,West
352046,Male,32,1,28.0,1,1-2 Year,No,35896.0,60.0,210,0,2024-12-26,2024,12,Q4,Arizona,West
275147,Male,53,1,28.0,0,1-2 Year,Yes,39418.0,26.0,246,0,2024-02-23,2024,2,Q1,Arizona,West
233377,Female,31,1,3.0,1,< 1 Year,No,31829.0,152.0,140,0,2024-11-14,2024,11,Q4,Arizona,West
345400,Female,25,1,44.0,0,< 1 Year,Yes,36205.0,152.0,181,0,2024-12-28,2024,12,Q4,Arizona,West
135885,Female,29,1,46.0,0,< 1 Year,Yes,50286.0,152.0,54,0,2024-07-23,2024,7,Q3,Arizona,West
287019,Male,25,1,37.0,1,< 1 Year,No,31858.0,152.0,288,0,2024-04-01,2024,4,Q2,Arizona,West
64257,Male,78,1,28.0,0,1-2 Year,Yes,38880.0,26.0,201,0,2024-01-11,2024,1,Q1,Arizona,West
285945,Female,57,1,28.0,0,1-2 Year,Yes,27535.0,26.0,97,0,2024-10-10,2024,10,Q4,Arizona,West
66784,Male,71,1,28.0,1,1-2 Year,No,68970.0,26.0,187,0,2024-05-13,2024,5,Q2,Arizona,West
